ID,Categorie,Titel,Situatie,Optie A,Feedback A,Score A,Correct A,Optie B,Feedback B,Score B,Correct B,Optie C,Feedback C,Score C,Correct C,Optie D,Feedback D,Score D,Correct D
1,Baseline,Crosscourt vanaf baseline,Je staat diep achter de baseline. Tegenstander speelt crosscourt.,Crosscourt terug diep,Goed gekozen! Veilige keuze met veel marge.,10,WAAR,Down-the-line,"Risicovol, minder ruimte.",5,ONWAAR,Slice kort terug,"Verrassend, maar vaak te kort.",3,ONWAAR,Lob,"Slechte optie, makkelijke aanval voor tegenstander.",0,ONWAAR
2,Baseline,Down-the-line vanaf baseline,Je staat diep achter de baseline. Tegenstander speelt down-the-line.,Crosscourt terugspelen,"Correct, veiligste keuze met meer ruimte.",10,WAAR,Down-the-line terug,"Risico, kans op fout groter.",5,ONWAAR,Hogere topspinbal in het midden,"Neutraal, geeft tijd maar weinig druk.",3,ONWAAR,Drop shot,"Zwakte vanaf deze positie, tegenstander kan makkelijk counteren.",0,ONWAAR
3,Aanval,Korte bal in het midden,Tegenstander speelt een korte bal in het midden.,Aanvallen met forehand diep cross,Beste keuze. Je opent de baan en zet druk.,10,WAAR,Aanvallen met forehand down-the-line,"Sterk als je zeker bent, maar risicovol.",5,ONWAAR,Slice kort terug,"Kan verrassen, maar vaak te passief.",3,ONWAAR,Defensief hoog in het midden,Je mist een kans om aan te vallen.,0,ONWAAR
4,Verdediging,Hoge topspin naar backhand,Tegenstander speelt een hoge topspinbal naar je backhand.,Terug crosscourt met topspin,"Correct, veel marge en veilig.",10,WAAR,Slice crosscourt,"Oké optie, maar kan te kort blijven.",5,ONWAAR,Down-the-line topspin,"Risicovol, maar kan belonen.",3,ONWAAR,Zwak terug in het midden,"Slecht, tegenstander valt aan.",0,ONWAAR
5,Aanval,Slice kort naar forehand,Tegenstander speelt een slice kort naar je forehand.,Aanvallen met forehand cross diep,Beste optie. Je dwingt tegenstander in de hoek.,10,WAAR,Forehand down-the-line,"Goed als de ruimte open ligt, maar lastig vanuit slice.",5,ONWAAR,Zelf slice kort terug,"Kan, maar meestal passief.",3,ONWAAR,Zwak terug in het midden,Geeft tegenstander kans om aan te vallen.,0,ONWAAR
6,Aanval,Korte bal als aanvalskans,"Je krijgt een korte bal in het midden, perfecte aanvalskans.",Forehand cross diep met veel snelheid,Beste keuze. Je opent de baan en dwingt fouten af.,10,WAAR,Forehand down-the-line winner,"Goed als timing perfect is, maar risicovol.",5,ONWAAR,Drop shot,"Kan verrassen, maar gevaarlijk tegen snelle lopers.",3,ONWAAR,Hoog terug in het midden,Je laat een aanvalskans liggen.,0,ONWAAR
7,Aanval,Korte forehand,Je krijgt een korte bal op de forehand.,Aanvallen met topspin cross,"Beste optie, veel ruimte en druk.",10,WAAR,Down-the-line winner proberen,"Risicovol, effectief als tegenstander breed staat.",5,ONWAAR,Slice cross terug,"Kan, maar geeft meestal initiatief terug.",3,ONWAAR,Defensief midden terug,Je mist je kans om te domineren.,0,ONWAAR
8,Aanval,Korte backhand,Je krijgt een korte bal op de backhand.,Backhand cross diep aanvallen,"Correct, veilig en opent rally.",10,WAAR,Backhand down-the-line,"Moeilijk, maar kan belonen.",5,ONWAAR,Slice kort terug,"Soms nuttig, maar vaak passief.",3,ONWAAR,Hoog terug in het midden,"Slecht, tegenstander valt aan.",0,ONWAAR
9,Tactiek,Tegenstander diep achter baseline,Je tegenstander staat ver achter de baseline.,Speel kort naar voren (drop shot),Slim! Je dwingt tegenstander naar het net.,10,WAAR,Speel diep crosscourt,"Houdt druk, maar geeft tegenstander tijd.",5,ONWAAR,Speel diep down-the-line,Effectief maar riskanter.,3,ONWAAR,Speel zacht in het midden,"Geen druk, tegenstander herstelt makkelijk.",0,ONWAAR
10,Tactiek,Tegenstander uit positie,Je tegenstander staat breed uit positie.,Speel naar de open ruimte,Beste keuze. Direct puntkans.,10,WAAR,Speel opnieuw naar dezelfde hoek,"Onverwacht, maar riskant.",5,ONWAAR,Speel zacht in het midden,"Neutraal, kans gemist.",3,ONWAAR,Speel naar tegenstander toe,"Geen voordeel, slechte keuze.",0,ONWAAR
